date,campaign_id,campaign_name,spend_inr,impressions,clicks,conversions
2026-04-15,CAM-GADS-001,LL_Google_BrandSearch,1581,11173,126,7
2026-04-15,CAM-GADS-002,LL_Google_Shopping,3012,38891,620,7
2026-04-16,CAM-GADS-001,LL_Google_BrandSearch,1476,10337,120,7
2026-04-16,CAM-GADS-002,LL_Google_Shopping,4063,57087,703,10
2026-04-17,CAM-GADS-001,LL_Google_BrandSearch,1780,11339,158,8
2026-04-17,CAM-GADS-002,LL_Google_Shopping,3326,53746,594,8
2026-04-18,CAM-GADS-001,LL_Google_BrandSearch,1428,9852,106,7
2026-04-18,CAM-GADS-002,LL_Google_Shopping,3138,47417,679,8
2026-04-19,CAM-GADS-001,LL_Google_BrandSearch,1710,10358,147,8
2026-04-19,CAM-GADS-002,LL_Google_Shopping,3103,42607,529,8
2026-04-20,CAM-GADS-001,LL_Google_BrandSearch,1606,9848,116,7
2026-04-20,CAM-GADS-002,LL_Google_Shopping,3350,43189,653,8
2026-04-21,CAM-GADS-001,LL_Google_BrandSearch,1419,7925,116,7
2026-04-21,CAM-GADS-002,LL_Google_Shopping,4008,58093,741,10
2026-04-22,CAM-GADS-001,LL_Google_BrandSearch,1809,10094,152,8
2026-04-22,CAM-GADS-002,LL_Google_Shopping,3504,43235,758,8
2026-04-23,CAM-GADS-001,LL_Google_BrandSearch,1752,11179,154,8
2026-04-23,CAM-GADS-002,LL_Google_Shopping,3485,38812,601,8
2026-04-24,CAM-GADS-001,LL_Google_BrandSearch,1484,10159,112,7
2026-04-24,CAM-GADS-002,LL_Google_Shopping,3334,48645,543,8
2026-04-25,CAM-GADS-001,LL_Google_BrandSearch,1679,11860,135,8
2026-04-25,CAM-GADS-002,LL_Google_Shopping,3803,47502,721,9
2026-04-26,CAM-GADS-001,LL_Google_BrandSearch,1650,9673,127,8
2026-04-26,CAM-GADS-002,LL_Google_Shopping,3930,53215,865,9
2026-04-27,CAM-GADS-001,LL_Google_BrandSearch,1856,10605,146,9
2026-04-27,CAM-GADS-002,LL_Google_Shopping,3356,52840,694,8
2026-04-28,CAM-GADS-001,LL_Google_BrandSearch,1770,10548,148,8
2026-04-28,CAM-GADS-002,LL_Google_Shopping,3588,43204,777,9
2026-04-29,CAM-GADS-001,LL_Google_BrandSearch,1548,8960,113,7
2026-04-29,CAM-GADS-002,LL_Google_Shopping,3373,42953,610,8
2026-04-30,CAM-GADS-001,LL_Google_BrandSearch,1624,10745,119,8
2026-04-30,CAM-GADS-002,LL_Google_Shopping,3029,49156,518,7
2026-05-01,CAM-GADS-001,LL_Google_BrandSearch,1716,11118,140,8
2026-05-01,CAM-GADS-002,LL_Google_Shopping,3580,42926,568,9
2026-05-02,CAM-GADS-001,LL_Google_BrandSearch,2025,11357,148,10
2026-05-02,CAM-GADS-002,LL_Google_Shopping,3514,41865,562,9
2026-05-03,CAM-GADS-001,LL_Google_BrandSearch,1516,10310,132,7
2026-05-03,CAM-GADS-002,LL_Google_Shopping,3775,52453,714,9
2026-05-04,CAM-GADS-001,LL_Google_BrandSearch,1753,11739,150,8
2026-05-04,CAM-GADS-002,LL_Google_Shopping,4289,54271,911,10
2026-05-05,CAM-GADS-001,LL_Google_BrandSearch,1818,11115,146,9
2026-05-05,CAM-GADS-002,LL_Google_Shopping,3940,63527,852,10
2026-05-06,CAM-GADS-001,LL_Google_BrandSearch,1834,13005,152,9
2026-05-06,CAM-GADS-002,LL_Google_Shopping,3324,51616,598,8
2026-05-07,CAM-GADS-001,LL_Google_BrandSearch,1798,10926,132,8
2026-05-07,CAM-GADS-002,LL_Google_Shopping,3659,60170,655,9
2026-05-08,CAM-GADS-001,LL_Google_BrandSearch,1929,12852,169,9
2026-05-08,CAM-GADS-002,LL_Google_Shopping,3551,39740,639,9
2026-05-09,CAM-GADS-001,LL_Google_BrandSearch,1717,11108,143,8
2026-05-09,CAM-GADS-002,LL_Google_Shopping,4338,53631,697,11
2026-05-10,CAM-GADS-001,LL_Google_BrandSearch,1679,9652,148,8
2026-05-10,CAM-GADS-002,LL_Google_Shopping,3406,47971,678,8
2026-05-11,CAM-GADS-001,LL_Google_BrandSearch,1790,11283,128,8
2026-05-11,CAM-GADS-002,LL_Google_Shopping,3213,38637,665,8
2026-05-12,CAM-GADS-001,LL_Google_BrandSearch,1753,12222,141,8
2026-05-12,CAM-GADS-002,LL_Google_Shopping,4509,54083,810,11
