date,campaign_id,campaign_name,angle,spend_inr,impressions,clicks,conversions
2026-04-15,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14158,126215,1758,47
2026-04-15,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,10983,83720,1291,35
2026-04-16,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,11654,105233,1544,38
2026-04-16,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9869,75811,1118,31
2026-04-17,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12673,103340,1793,42
2026-04-17,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9294,75313,985,29
2026-04-18,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12462,108393,1445,41
2026-04-18,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,11787,98666,1407,37
2026-04-19,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14554,117728,1927,48
2026-04-19,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9857,75397,1153,31
2026-04-20,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14310,114726,1586,47
2026-04-20,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9099,69171,1078,29
2026-04-21,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,15189,137878,1685,50
2026-04-21,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9111,71395,1281,29
2026-04-22,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14122,118552,1782,46
2026-04-22,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,10715,92952,1145,35
2026-04-23,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14405,125003,1879,47
2026-04-23,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,11198,84892,1438,36
2026-04-24,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,13438,100722,1559,43
2026-04-24,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,10994,86988,1376,36
2026-04-25,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14144,112946,1904,46
2026-04-25,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9328,70207,1145,30
2026-04-26,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,13536,105562,1827,44
2026-04-26,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,8728,74840,1146,28
2026-04-27,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14352,120114,1515,46
2026-04-27,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9591,77325,1253,31
2026-04-28,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,16003,127008,1907,52
2026-04-28,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9446,75802,1022,31
2026-04-29,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,13830,110036,1540,45
2026-04-29,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,10319,84227,1386,33
2026-04-30,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,13059,108325,1824,43
2026-04-30,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,8747,65858,953,28
2026-05-01,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,16388,137092,1727,53
2026-05-01,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9707,82640,1129,31
2026-05-02,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,14301,116053,1517,47
2026-05-02,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9763,77964,1323,31
2026-05-03,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12510,95119,1780,41
2026-05-03,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,11249,87159,1347,36
2026-05-04,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12322,96252,1416,40
2026-05-04,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,11017,85096,1323,35
2026-05-05,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12590,102006,1642,41
2026-05-05,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,9198,83607,1178,29
2026-05-05,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,10000,75060,1087,17
2026-05-06,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12047,107822,1353,32
2026-05-06,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,8943,71712,1181,24
