date,channel,orders,revenue_inr,new_customers,repeat_customers,aov_inr
2026-04-15,D2C,121,96200,43,78,795
2026-04-15,Amazon,80,63550,26,54,794
2026-04-15,Flipkart,21,17280,8,13,823
2026-04-15,Quick Commerce,15,12600,4,11,840
2026-04-16,D2C,120,96200,42,78,802
2026-04-16,Amazon,80,63550,25,55,794
2026-04-16,Flipkart,21,16200,6,15,771
2026-04-16,Quick Commerce,16,12600,5,11,788
2026-04-17,D2C,139,111000,49,90,799
2026-04-17,Amazon,77,61500,24,53,799
2026-04-17,Flipkart,19,15120,6,13,796
2026-04-17,Quick Commerce,17,13500,5,12,794
2026-04-18,D2C,157,125800,55,102,801
2026-04-18,Amazon,67,53300,21,46,796
2026-04-18,Flipkart,18,14040,5,13,780
2026-04-18,Quick Commerce,18,14400,6,12,800
2026-04-19,D2C,157,125800,55,102,801
2026-04-19,Amazon,62,49200,20,42,794
2026-04-19,Flipkart,16,12960,5,11,810
2026-04-19,Quick Commerce,18,14400,6,12,800
2026-04-20,D2C,120,96200,42,78,802
2026-04-20,Amazon,77,61500,24,53,799
2026-04-20,Flipkart,21,16200,6,15,771
2026-04-20,Quick Commerce,15,11700,5,10,780
2026-04-21,D2C,111,88800,39,72,800
2026-04-21,Amazon,72,57400,23,49,797
2026-04-21,Flipkart,21,16200,6,15,771
2026-04-21,Quick Commerce,14,10800,4,10,771
2026-04-22,D2C,125,99450,43,82,796
2026-04-22,Amazon,81,65100,26,55,804
2026-04-22,Flipkart,21,17600,8,13,838
2026-04-22,Quick Commerce,18,13300,4,14,739
2026-04-23,D2C,125,99450,44,81,796
2026-04-23,Amazon,81,65100,26,55,804
2026-04-23,Flipkart,21,16500,6,15,786
2026-04-23,Quick Commerce,18,13300,5,13,739
2026-04-24,D2C,144,114750,50,94,797
2026-04-24,Amazon,79,63000,25,54,797
2026-04-24,Flipkart,19,15400,6,13,811
2026-04-24,Quick Commerce,19,14250,5,14,750
2026-04-25,D2C,163,130050,57,106,798
2026-04-25,Amazon,68,54600,22,46,803
2026-04-25,Flipkart,18,14300,5,13,794
2026-04-25,Quick Commerce,20,15200,6,14,760
2026-04-26,D2C,163,130050,57,106,798
2026-04-26,Amazon,63,50400,20,43,800
2026-04-26,Flipkart,17,13200,5,12,776
2026-04-26,Quick Commerce,20,15200,6,14,760
2026-04-27,D2C,125,99450,44,81,796
2026-04-27,Amazon,79,63000,25,54,797
2026-04-27,Flipkart,21,16500,6,15,786
2026-04-27,Quick Commerce,17,12350,5,12,726
2026-04-28,D2C,115,91800,40,75,798
2026-04-28,Amazon,74,58800,24,50,795
2026-04-28,Flipkart,21,16500,6,15,786
2026-04-28,Quick Commerce,15,11400,4,11,760
2026-04-29,D2C,129,102960,44,85,798
2026-04-29,Amazon,85,66960,26,59,788
2026-04-29,Flipkart,23,18432,8,15,801
2026-04-29,Quick Commerce,21,14112,4,17,672
2026-04-30,D2C,128,102960,45,83,804
2026-04-30,Amazon,84,66960,27,57,797
2026-04-30,Flipkart,22,17280,6,16,785
2026-04-30,Quick Commerce,20,14112,5,15,706
2026-05-01,D2C,148,118800,52,96,803
2026-05-01,Amazon,81,64800,26,55,800
2026-05-01,Flipkart,20,16128,6,14,806
2026-05-01,Quick Commerce,22,15120,5,17,687
2026-05-02,D2C,168,134640,59,109,801
2026-05-02,Amazon,70,56160,22,48,802
2026-05-02,Flipkart,19,14976,6,13,788
2026-05-02,Quick Commerce,23,16128,6,17,701
2026-05-03,D2C,168,134640,59,109,801
2026-05-03,Amazon,65,51840,21,44,798
2026-05-03,Flipkart,17,13824,5,12,813
2026-05-03,Quick Commerce,23,16128,6,17,701
2026-05-04,D2C,128,102960,45,83,804
2026-05-04,Amazon,81,64800,26,55,800
2026-05-04,Flipkart,22,17280,6,16,785
2026-05-04,Quick Commerce,19,13104,5,14,690
2026-05-05,D2C,119,95040,41,78,799
2026-05-05,Amazon,76,60480,24,52,796
2026-05-05,Flipkart,22,17280,6,16,785
2026-05-05,Quick Commerce,17,12096,4,13,712
2026-05-06,D2C,131,105950,47,84,809
2026-05-06,Amazon,85,68913,27,58,811
2026-05-06,Flipkart,23,18970,6,17,825
2026-05-06,Quick Commerce,18,14538,5,13,808
2026-05-07,D2C,132,105950,46,86,803
2026-05-07,Amazon,86,68913,27,59,801
2026-05-07,Flipkart,22,17784,7,15,808
2026-05-07,Quick Commerce,18,14538,5,13,808
2026-05-08,D2C,152,122250,53,99,804
2026-05-08,Amazon,83,66690,27,56,803
2026-05-08,Flipkart,21,16598,6,15,790
2026-05-08,Quick Commerce,19,15576,5,14,820
2026-05-09,D2C,172,138550,60,112,806
2026-05-09,Amazon,72,57798,23,49,803
2026-05-09,Flipkart,19,15413,6,13,811
2026-05-09,Quick Commerce,21,16614,6,15,791
2026-05-10,D2C,172,138550,60,112,806
2026-05-10,Amazon,66,53352,21,45,808
2026-05-10,Flipkart,18,14227,5,13,790
2026-05-10,Quick Commerce,21,16614,6,15,791
2026-05-11,D2C,132,105950,46,86,803
2026-05-11,Amazon,83,66690,27,56,803
2026-05-11,Flipkart,22,17784,7,15,808
2026-05-11,Quick Commerce,17,13499,5,12,794
2026-05-12,D2C,121,97800,43,78,808
2026-05-12,Amazon,77,62244,25,52,808
2026-05-12,Flipkart,22,17784,7,15,808
2026-05-12,Quick Commerce,15,12461,4,11,831
