date,campaign_id,campaign_name,angle,spend_inr,impressions,clicks,conversions
2026-04-15,GOOG-001,Brand Search,brand-search,1080,2213,166,5
2026-04-15,GOOG-002,Non-brand Paan Search,category-search,1020,1500,57,3
2026-04-15,GOOG-003,Gifting Long-tail,gifting-search,360,552,16,0
2026-04-16,GOOG-001,Brand Search,brand-search,1080,2213,166,5
2026-04-16,GOOG-002,Non-brand Paan Search,category-search,1020,1500,57,3
2026-04-16,GOOG-003,Gifting Long-tail,gifting-search,360,552,16,1
2026-04-17,GOOG-001,Brand Search,brand-search,1080,2213,166,5
2026-04-17,GOOG-002,Non-brand Paan Search,category-search,1020,1500,57,3
2026-04-17,GOOG-003,Gifting Long-tail,gifting-search,360,552,16,1
2026-04-18,GOOG-001,Brand Search,brand-search,972,2000,150,6
2026-04-18,GOOG-002,Non-brand Paan Search,category-search,918,1342,51,3
2026-04-18,GOOG-003,Gifting Long-tail,gifting-search,324,517,15,1
2026-04-19,GOOG-001,Brand Search,brand-search,936,1920,144,5
2026-04-19,GOOG-002,Non-brand Paan Search,category-search,884,1289,49,3
2026-04-19,GOOG-003,Gifting Long-tail,gifting-search,312,483,14,1
2026-04-20,GOOG-001,Brand Search,brand-search,1044,2147,161,5
2026-04-20,GOOG-002,Non-brand Paan Search,category-search,986,1447,55,2
2026-04-20,GOOG-003,Gifting Long-tail,gifting-search,348,552,16,1
2026-04-21,GOOG-001,Brand Search,brand-search,1008,2067,155,5
2026-04-21,GOOG-002,Non-brand Paan Search,category-search,952,1395,53,3
2026-04-21,GOOG-003,Gifting Long-tail,gifting-search,336,517,15,1
2026-04-22,GOOG-001,Brand Search,brand-search,1110,2280,171,6
2026-04-22,GOOG-002,Non-brand Paan Search,category-search,1050,1526,58,3
2026-04-22,GOOG-003,Gifting Long-tail,gifting-search,390,621,18,1
2026-04-23,GOOG-001,Brand Search,brand-search,1110,2280,171,6
2026-04-23,GOOG-002,Non-brand Paan Search,category-search,1050,1526,58,3
2026-04-23,GOOG-003,Gifting Long-tail,gifting-search,390,621,18,1
2026-04-24,GOOG-001,Brand Search,brand-search,1110,2280,171,6
2026-04-24,GOOG-002,Non-brand Paan Search,category-search,1050,1526,58,3
2026-04-24,GOOG-003,Gifting Long-tail,gifting-search,390,621,18,1
2026-04-25,GOOG-001,Brand Search,brand-search,999,2053,154,4
2026-04-25,GOOG-002,Non-brand Paan Search,category-search,945,1368,52,3
2026-04-25,GOOG-003,Gifting Long-tail,gifting-search,351,552,16,1
