date,channel,orders,revenue_inr,new_customers,repeat_customers,aov_inr
2026-04-15,D2C,63,46647,26,37,740
2026-04-15,WhatsApp,12,8550,2,10,712
2026-04-15,Zomato,26,20659,10,16,795
2026-04-15,Swiggy,16,11260,6,10,704
2026-04-16,D2C,66,48868,28,38,740
2026-04-16,WhatsApp,12,8550,2,10,712
2026-04-16,Zomato,28,22249,10,18,795
2026-04-16,Swiggy,17,11964,6,11,704
2026-04-17,D2C,70,51830,30,40,740
2026-04-17,WhatsApp,12,8550,2,10,712
2026-04-17,Zomato,37,29400,14,23,795
2026-04-17,Swiggy,22,15483,8,14,704
2026-04-18,D2C,75,55532,32,43,740
2026-04-18,WhatsApp,10,7125,2,8,712
2026-04-18,Zomato,43,34168,16,27,795
2026-04-18,Swiggy,26,18298,9,17,704
2026-04-19,D2C,74,54791,31,43,740
2026-04-19,WhatsApp,8,5700,2,6,712
2026-04-19,Zomato,39,30989,15,24,795
2026-04-19,Swiggy,24,16890,8,16,704
2026-04-20,D2C,63,46647,26,37,740
2026-04-20,WhatsApp,13,9263,3,10,713
2026-04-20,Zomato,26,20659,10,16,795
2026-04-20,Swiggy,15,10556,5,10,704
2026-04-21,D2C,59,43685,24,35,740
2026-04-21,WhatsApp,13,9262,3,10,712
2026-04-21,Zomato,23,18276,9,14,795
2026-04-21,Swiggy,13,9149,5,8,704
2026-04-22,D2C,65,48315,28,37,743
2026-04-22,WhatsApp,12,8707,2,10,726
2026-04-22,Zomato,26,20613,10,16,793
2026-04-22,Swiggy,16,10824,6,10,676
2026-04-23,D2C,68,50544,29,39,743
2026-04-23,WhatsApp,13,9434,2,11,726
2026-04-23,Zomato,28,22198,10,18,793
2026-04-23,Swiggy,17,11500,6,11,676
2026-04-24,D2C,73,54262,30,43,743
2026-04-24,WhatsApp,12,8707,2,10,726
2026-04-24,Zomato,37,29333,14,23,793
2026-04-24,Swiggy,22,14882,7,15,676
2026-04-25,D2C,78,57977,32,46,743
2026-04-25,WhatsApp,10,7256,2,8,726
2026-04-25,Zomato,43,34090,16,27,793
2026-04-25,Swiggy,27,18264,9,18,676
2026-04-26,D2C,75,55747,31,44,743
2026-04-26,WhatsApp,9,6530,2,7,726
2026-04-26,Zomato,39,30919,15,24,793
2026-04-26,Swiggy,24,16235,9,15,676
2026-04-27,D2C,65,48314,28,37,743
2026-04-27,WhatsApp,13,9433,3,10,726
2026-04-27,Zomato,26,20613,10,16,793
2026-04-27,Swiggy,16,10824,6,10,676
2026-04-28,D2C,61,45341,26,35,743
2026-04-28,WhatsApp,13,9433,3,10,726
2026-04-28,Zomato,23,18234,9,14,793
2026-04-28,Swiggy,14,9471,5,9,676
2026-04-29,D2C,67,50920,28,39,760
2026-04-29,WhatsApp,12,8930,2,10,744
2026-04-29,Zomato,29,22101,11,18,762
2026-04-29,Swiggy,18,12671,6,12,704
2026-04-30,D2C,70,53200,29,41,760
2026-04-30,WhatsApp,13,9674,3,10,744
2026-04-30,Zomato,31,23625,12,19,762
2026-04-30,Swiggy,19,13375,7,12,704
2026-05-01,D2C,75,57000,32,43,760
2026-05-01,WhatsApp,14,10419,3,11,744
2026-05-01,Zomato,40,30483,16,24,762
2026-05-01,Swiggy,25,17599,9,16,704
2026-05-02,D2C,80,60800,34,46,760
2026-05-02,WhatsApp,10,7441,2,8,744
2026-05-02,Zomato,48,36581,18,30,762
2026-05-02,Swiggy,31,21822,10,21,704
2026-05-03,D2C,78,59280,33,45,760
2026-05-03,WhatsApp,9,6698,1,8,744
2026-05-03,Zomato,45,34294,16,29,762
2026-05-03,Swiggy,27,19007,10,17,704
2026-05-04,D2C,68,51680,28,40,760
2026-05-04,WhatsApp,14,10419,3,11,744
2026-05-04,Zomato,29,22101,11,18,762
2026-05-04,Swiggy,17,11967,6,11,704
2026-05-05,D2C,62,47120,26,36,760
2026-05-05,WhatsApp,14,10419,3,11,744
2026-05-05,Zomato,26,19815,10,16,762
2026-05-05,Swiggy,15,10559,5,10,704
2026-05-06,D2C,70,53873,30,40,770
2026-05-06,WhatsApp,13,9750,3,10,750
2026-05-06,Zomato,29,23399,11,18,807
2026-05-06,Swiggy,17,12925,6,11,760
2026-05-07,D2C,73,56182,30,43,770
2026-05-07,WhatsApp,14,10500,3,11,750
2026-05-07,Zomato,32,25818,12,20,807
2026-05-07,Swiggy,18,13685,6,12,760
2026-05-08,D2C,78,60030,33,45,770
2026-05-08,WhatsApp,14,10500,3,11,750
2026-05-08,Zomato,42,33887,16,26,807
2026-05-08,Swiggy,24,18247,8,16,760
2026-05-09,D2C,83,63878,35,48,770
2026-05-09,WhatsApp,11,8250,2,9,750
2026-05-09,Zomato,49,39534,19,30,807
2026-05-09,Swiggy,28,21288,11,17,760
2026-05-10,D2C,81,62339,34,47,770
2026-05-10,WhatsApp,10,7500,1,9,750
2026-05-10,Zomato,45,36307,17,28,807
2026-05-10,Swiggy,26,19767,9,17,760
2026-05-11,D2C,70,53873,30,40,770
2026-05-11,WhatsApp,15,11250,3,12,750
2026-05-11,Zomato,29,23398,11,18,807
2026-05-11,Swiggy,17,12925,6,11,760
2026-05-12,D2C,65,50025,28,37,770
2026-05-12,WhatsApp,15,11250,3,12,750
2026-05-12,Zomato,26,20977,9,17,807
2026-05-12,Swiggy,14,10643,5,9,760
